Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Convex_Area,Equiv_Diameter,Eccentricity,Solidity,Extent,Roundness,Compactness
  71191.0000,   1013.2430,    393.3480,    231.2788,  71813.0000,    301.0701,      0.8089,      0.9913,      0.6810,      0.8714,      0.7654
  71623.0000,   1086.4520,    431.6635,    214.3176,  72709.0000,    301.9822,      0.8680,      0.9851,      0.7259,      0.7625,      0.6996
  85336.0000,   1136.4690,    449.1391,    242.7072,  86123.0000,    329.6258,      0.8414,      0.9909,      0.6867,      0.8303,      0.7339
  75850.0000,   1078.1010,    431.6153,    225.3399,  76640.0000,    310.7655,      0.8529,      0.9897,      0.7181,      0.8201,      0.7200
  76479.0000,   1145.9270,    487.5779,    199.9750,  77181.0000,    312.0514,      0.9120,      0.9909,      0.5476,      0.7319,      0.6400
  57255.0000,   1071.2490,    475.9168,    154.7253,  57898.0000,    269.9988,      0.9457,      0.9889,      0.6397,      0.6270,      0.5673
 102803.0000,   1416.3030,    614.8959,    216.4382, 104364.0000,    361.7912,      0.9360,      0.9850,      0.7472,      0.6440,      0.5884
  69300.0000,   1040.5210,    424.3710,    208.6794,  69924.0000,    297.0446,      0.8707,      0.9911,      0.7359,      0.8043,      0.7000
  85774.0000,   1165.6150,    470.3927,    232.8066,  86582.0000,    330.4706,      0.8689,      0.9907,      0.7416,      0.7933,      0.7025
  62105.0000,    986.3700,    390.4307,    203.1583,  62792.0000,    281.2020,      0.8540,      0.9891,      0.6624,      0.8022,      0.7202
  83736.0000,   1108.2810,    431.5197,    248.0819,  84458.0000,    326.5210,      0.8182,      0.9915,      0.7268,      0.8567,      0.7567
  73013.0000,   1043.7820,    419.7658,    222.0441,  73552.0000,    304.8984,      0.8486,      0.9927,      0.7444,      0.8422,      0.7264
 113101.0000,   1298.9100,    512.6119,    282.0278, 114115.0000,    379.4795,      0.8350,      0.9911,      0.6856,      0.8424,      0.7403
 106564.0000,   1340.3080,    557.9613,    244.3194, 107892.0000,    368.3497,      0.8990,      0.9877,      0.5874,      0.7454,      0.6602
  92201.0000,   1199.3090,    482.7770,    244.2383,  92937.0000,    342.6280,      0.8626,      0.9921,      0.7380,      0.8055,      0.7097
 101632.0000,   1323.2750,    558.9798,    232.1504, 102412.0000,    359.7247,      0.9097,      0.9924,      0.7451,      0.7294,      0.6435
  96442.0000,   1227.0220,    493.2531,    249.7571,  97371.0000,    350.4194,      0.8623,      0.9905,      0.7293,      0.8050,      0.7104
  92761.0000,   1213.2110,    502.4089,    235.7268,  93383.0000,    343.6670,      0.8831,      0.9933,      0.6037,      0.7920,      0.6840
  85314.0000,   1187.0380,    475.5123,    229.6895,  86356.0000,    329.5833,      0.8756,      0.9879,      0.6255,      0.7609,      0.6931
  75571.0000,   1077.3890,    437.7566,    220.6981,  76212.0000,    310.1935,      0.8636,      0.9916,      0.6162,      0.8181,      0.7086
  85765.0000,   1240.5560,    535.4421,    204.9303,  86648.0000,    330.4533,      0.9239,      0.9898,      0.7569,      0.7003,      0.6172
  85866.0000,   1151.6110,    462.9704,    239.3965,  86697.0000,    330.6478,      0.8559,      0.9904,      0.6791,      0.8136,      0.7142
  63789.0000,    977.6100,    386.7988,    210.7891,  64483.0000,    284.9889,      0.8385,      0.9892,      0.7476,      0.8387,      0.7368
  72940.0000,   1080.5880,    440.1881,    212.9034,  73668.0000,    304.7459,      0.8753,      0.9901,      0.6008,      0.7850,      0.6923
  70729.0000,   1099.4820,    469.4040,    192.5229,  71327.0000,    300.0916,      0.9120,      0.9916,      0.6490,      0.7352,      0.6393
  61319.0000,    941.4320,    353.6914,    222.1370,  62304.0000,    279.4168,      0.7782,      0.9842,      0.7085,      0.8694,      0.7900
  57907.0000,    949.8000,    387.4814,    191.2462,  58497.0000,    271.5317,      0.8697,      0.9899,      0.7104,      0.8066,      0.7008
  72986.0000,   1086.3920,    443.7518,    209.8310,  73632.0000,    304.8420,      0.8811,      0.9912,      0.6119,      0.7771,      0.6870
  96203.0000,   1268.3520,    537.4838,    228.6684,  96833.0000,    349.9849,      0.9050,      0.9935,      0.7693,      0.7515,      0.6512
  73030.0000,   1107.5440,    468.1412,    199.4204,  73777.0000,    304.9339,      0.9047,      0.9899,      0.5559,      0.7482,      0.6514
  90535.0000,   1163.8060,    450.5074,    258.1205,  91927.0000,    339.5184,      0.8196,      0.9849,      0.7492,      0.8400,      0.7536
  69655.0000,   1082.4980,    455.8138,    195.0643,  70513.0000,    297.8045,      0.9038,      0.9878,      0.7149,      0.7470,      0.6533
  64543.0000,    959.7740,    364.3535,    226.7457,  65140.0000,    286.6683,      0.7828,      0.9908,      0.7030,      0.8805,      0.7868
  74279.0000,   1078.3000,    433.9331,    218.6432,  75155.0000,    307.5304,      0.8638,      0.9883,      0.6998,      0.8028,      0.7087
  84554.0000,   1114.0650,    423.9317,    255.1256,  85567.0000,    328.1120,      0.7986,      0.9882,      0.6913,      0.8561,      0.7740
 107695.0000,   1366.0560,    591.1305,    232.3622, 108546.0000,    370.2992,      0.9195,      0.9922,      0.7285,      0.7252,      0.6264
  50822.0000,    917.5300,    381.4619,    170.2289,  51648.0000,    254.3788,      0.8949,      0.9840,      0.6649,      0.7586,      0.6669
  71393.0000,   1096.5330,    459.2091,    199.1305,  72203.0000,    301.4969,      0.9011,      0.9888,      0.6000,      0.7461,      0.6566
  72949.0000,   1083.6000,    442.3070,    211.0280,  73519.0000,    304.7647,      0.8788,      0.9922,      0.7237,      0.7807,      0.6890
  66646.0000,   1051.3490,    444.6760,    191.9411,  67235.0000,    291.3011,      0.9020,      0.9912,      0.6805,      0.7577,      0.6551
  55462.0000,    952.2530,    383.5621,    185.4874,  56210.0000,    265.7375,      0.8753,      0.9867,      0.7201,      0.7686,      0.6928
  58469.0000,   1007.0410,    430.2003,    173.8137,  59077.0000,    272.8462,      0.9147,      0.9897,      0.7460,      0.7245,      0.6342
 101280.0000,   1317.0080,    553.3534,    235.2002, 102285.0000,    359.1012,      0.9052,      0.9902,      0.5442,      0.7338,      0.6490
  73152.0000,   1091.8140,    461.2935,    202.4611,  73699.0000,    305.1885,      0.8985,      0.9926,      0.7193,      0.7711,      0.6616
 103882.0000,   1321.9480,    554.4242,    239.5097, 104693.0000,    363.6849,      0.9019,      0.9923,      0.5734,      0.7470,      0.6560
  74336.0000,   1099.8410,    449.0647,    211.5007,  75287.0000,    307.6484,      0.8821,      0.9874,      0.7426,      0.7722,      0.6851
 110913.0000,   1343.3990,    558.8948,    253.4391, 111715.0000,    375.7909,      0.8913,      0.9928,      0.7410,      0.7723,      0.6724
  52342.0000,    953.9920,    409.2241,    163.8458,  52796.0000,    258.1548,      0.9163,      0.9914,      0.6559,      0.7227,      0.6308
  84892.0000,   1273.5570,    557.7839,    195.4108,  86259.0000,    328.7672,      0.9366,      0.9842,      0.6139,      0.6577,      0.5894
  70573.0000,   1014.8610,    392.7862,    229.9605,  71377.0000,    299.7605,      0.8107,      0.9887,      0.6793,      0.8611,      0.7632
  53554.0000,    921.6650,    372.0836,    184.0684,  54082.0000,    261.1265,      0.8691,      0.9902,      0.6261,      0.7922,      0.7018
  74948.0000,   1068.9020,    426.0520,    224.7881,  75700.0000,    308.9122,      0.8495,      0.9901,      0.6780,      0.8243,      0.7251
  79066.0000,   1037.3620,    378.7703,    266.5459,  79616.0000,    317.2853,      0.7105,      0.9931,      0.7801,      0.9233,      0.8377
  75355.0000,   1056.0270,    403.3483,    238.7719,  75985.0000,    309.7498,      0.8060,      0.9917,      0.7519,      0.8491,      0.7679
  95230.0000,   1240.4100,    503.9269,    241.9388,  96868.0000,    348.2106,      0.8772,      0.9831,      0.7266,      0.7778,      0.6910
  78532.0000,   1123.8490,    432.7165,    232.2045,  79455.0000,    316.2120,      0.8438,      0.9884,      0.6983,      0.7813,      0.7308
  74403.0000,   1072.3820,    432.0213,    219.8435,  74964.0000,    307.7870,      0.8608,      0.9925,      0.7080,      0.8130,      0.7124
  64787.0000,   1056.7880,    444.2776,    185.9116,  65556.0000,    287.2096,      0.9082,      0.9883,      0.5494,      0.7290,      0.6465
  70648.0000,   1083.9710,    446.4220,    202.2180,  71749.0000,    299.9197,      0.8915,      0.9847,      0.5765,      0.7556,      0.6718
  85778.0000,   1159.5840,    434.1433,    255.1073,  87489.0000,    330.4784,      0.8091,      0.9804,      0.6642,      0.8016,      0.7612
  66001.0000,   1069.0790,    453.8482,    186.9632,  66827.0000,    289.8881,      0.9112,      0.9876,      0.5421,      0.7257,      0.6387
  73046.0000,   1124.1230,    471.2562,    198.3681,  74035.0000,    304.9673,      0.9071,      0.9866,      0.5682,      0.7264,      0.6471
  97268.0000,   1268.1400,    522.3452,    238.0053,  98210.0000,    351.9168,      0.8902,      0.9904,      0.5905,      0.7601,      0.6737
  74104.0000,   1067.6040,    401.8534,    237.2761,  75071.0000,    307.1679,      0.8071,      0.9871,      0.7378,      0.8170,      0.7644
  62381.0000,    958.3890,    353.4040,    225.5972,  63216.0000,    281.8261,      0.7697,      0.9868,      0.7103,      0.8535,      0.7975
  85592.0000,   1149.0440,    460.0186,    237.8423,  86307.0000,    330.1199,      0.8560,      0.9917,      0.7231,      0.8146,      0.7176
  58684.0000,    917.4820,    355.8436,    210.4503,  59202.0000,    273.3474,      0.8064,      0.9913,      0.7156,      0.8761,      0.7682
 101604.0000,   1218.6360,    467.8848,    277.0300, 102438.0000,    359.6752,      0.8059,      0.9919,      0.7538,      0.8598,      0.7687
  75362.0000,   1135.7850,    481.2083,    200.8990,  75981.0000,    309.7642,      0.9087,      0.9919,      0.5907,      0.7341,      0.6437
  84614.0000,   1124.7730,    442.5786,    244.3072,  85361.0000,    328.2284,      0.8338,      0.9912,      0.6707,      0.8405,      0.7416
  69304.0000,   1069.8570,    445.9318,    198.4077,  70024.0000,    297.0532,      0.8956,      0.9897,      0.5618,      0.7609,      0.6661
  74188.0000,   1139.7580,    471.4994,    203.9162,  75631.0000,    307.3420,      0.9016,      0.9809,      0.6026,      0.7177,      0.6518
  92547.0000,   1214.3750,    493.4909,    239.8281,  93424.0000,    343.2703,      0.8740,      0.9906,      0.6114,      0.7886,      0.6956
  65939.0000,    999.9430,    399.9251,    211.5168,  66452.0000,    289.7519,      0.8487,      0.9923,      0.6776,      0.8287,      0.7245
  75307.0000,   1079.8120,    421.5085,    228.3167,  76138.0000,    309.6512,      0.8406,      0.9891,      0.6739,      0.8116,      0.7346
  73594.0000,   1083.4810,    437.0082,    215.1703,  74455.0000,    306.1091,      0.8704,      0.9884,      0.6077,      0.7878,      0.7005
  61589.0000,    989.1510,    389.2343,    203.1030,  62939.0000,    280.0313,      0.8531,      0.9786,      0.6249,      0.7910,      0.7194
  99270.0000,   1245.9630,    495.6917,    255.7247, 100359.0000,    355.5200,      0.8567,      0.9891,      0.6966,      0.8036,      0.7172
  68785.0000,   1077.0770,    452.9371,    193.7411,  69507.0000,    295.9388,      0.9039,      0.9896,      0.6740,      0.7451,      0.6534
  99668.0000,   1276.4340,    489.2537,    264.2007, 101283.0000,    356.2320,      0.8417,      0.9841,      0.7591,      0.7687,      0.7281
  69573.0000,   1005.8350,    390.9600,    227.7105,  70068.0000,    297.6291,      0.8129,      0.9929,      0.6752,      0.8642,      0.7613
 101360.0000,   1318.0470,    555.9335,    233.0345, 102401.0000,    359.2430,      0.9079,      0.9898,      0.7449,      0.7332,      0.6462
  70892.0000,   1043.9260,    415.8783,    218.8249,  71646.0000,    300.4372,      0.8504,      0.9895,      0.6680,      0.8175,      0.7224
